Sentence #,Word,POS,Tag
Sentence: 1,Поэт,_,B-per
NaN,провел,_,O
NaN,рукою,_,O
NaN,по,_,O
NaN,лицу,_,O
NaN,как,_,O
NaN,человек,_,O
NaN,только,_,O
NaN,что,_,O
NaN,очнувшийся,_,O
NaN,и,_,O
NaN,увидел,_,O
NaN,что,_,O
NaN,на,_,O
NaN,Патриарших,_,O
NaN,вечер,_,O
Sentence: 2,Вода,_,O
NaN,в,_,O
NaN,пруде,_,O
NaN,почернела,_,O
NaN,и,_,O
NaN,легкая,_,O
NaN,лодочка,_,O
NaN,уже,_,O
NaN,скользила,_,O
NaN,по,_,O
NaN,ней,_,O
NaN,и,_,O
NaN,слышался,_,O
NaN,плеск,_,O
NaN,весла,_,O
NaN,и,_,O
NaN,смешки,_,O
NaN,какой-то,_,O
NaN,гражданки,_,B-per
NaN,в,_,O
NaN,лодочке,_,O
Sentence: 3,Дышать,_,O
NaN,стало,_,O
NaN,гораздо,_,O
NaN,легче,_,O
NaN,и,_,O
NaN,голоса,_,O
NaN,под,_,O
NaN,липами,_,O
NaN,звучали,_,O
NaN,мягче,_,O
NaN,по-вечернему,_,O
Sentence: 4,Как,_,O
NaN,же,_,O
NaN,это,_,O
NaN,я,_,B-per
NaN,не,_,O
NaN,заметил,_,O
NaN,что,_,O
NaN,он,_,B-per
NaN,успел,_,O
NaN,сплести,_,O
NaN,целый,_,O
NaN,рассказ,_,O
Sentence: 5,–,_,O
NaN,подумал,_,O
NaN,Бездомный,_,B-per
NaN,в,_,O
NaN,изумлении,_,O
NaN,–,_,O
NaN,ведь,_,O
NaN,вот,_,O
NaN,уже,_,O
NaN,и,_,O
NaN,вечер,_,O
Sentence: 6,А,_,O
NaN,может,_,O
NaN,это,_,O
NaN,и,_,O
NaN,не,_,O
NaN,он,_,B-per
NaN,рассказывал,_,O
NaN,а,_,O
NaN,просто,_,O
NaN,я,_,B-per
NaN,заснул,_,O
NaN,и,_,O
NaN,все,_,O
NaN,это,_,O
NaN,мне,_,O
NaN,приснилось,_,O
NaN,Но,_,O
NaN,надо,_,O
NaN,полагать,_,O
NaN,что,_,O
NaN,все-таки,_,O
NaN,рассказывал,_,O
NaN,профессор,_,B-per
NaN,иначе,_,O
NaN,придется,_,O
NaN,допустить,_,O
NaN,что,_,O
NaN,то,_,O
NaN,же,_,O
NaN,самое,_,O
NaN,приснилось,_,O
NaN,и,_,O
NaN,Берлиозу,_,B-per
NaN,потому,_,O
NaN,что,_,O
NaN,тот,_,O
NaN,сказал,_,O
NaN,внимательно,_,O
NaN,всматриваясь,_,O
NaN,в,_,O
NaN,лицо,_,O
NaN,иностранца:,_,B-per
NaN,–,_,O
NaN,Помилуйте,_,O
NaN,–,_,O
NaN,снисходительно,_,O
NaN,усмехнувшись,_,O
NaN,отозвался,_,O
NaN,профессор,_,B-per
NaN,–,_,O
NaN,уж,_,O
NaN,кто-кто,_,O
NaN,а,_,O
NaN,вы-то,_,O
NaN,должны,_,O
NaN,знать,_,O
NaN,что,_,O
NaN,ровно,_,O
NaN,ничего,_,O
NaN,из,_,O
NaN,того,_,O
NaN,что,_,O
NaN,написано,_,O
NaN,в,_,O
NaN,евангелиях,_,O
NaN,не,_,O
NaN,происходило,_,O
NaN,на,_,O
NaN,самом,_,O
NaN,деле,_,O
NaN,никогда,_,O
NaN,и,_,O
NaN,если,_,O
NaN,мы,_,O
NaN,начнем,_,O
NaN,ссылаться,_,O
NaN,на,_,O
NaN,евангелия,_,O
NaN,как,_,O
NaN,на,_,O
NaN,исторический,_,O
NaN,источник,_,O
Sentence: 7,–,_,O
NaN,он,_,B-per
NaN,еще,_,O
NaN,раз,_,O
NaN,усмехнулся,_,O
NaN,и,_,O
NaN,Берлиоз,_,B-per
NaN,осекся,_,O
NaN,потому,_,O
NaN,что,_,O
NaN,буквально,_,O
NaN,то,_,O
NaN,же,_,O
NaN,самое,_,O
NaN,он,_,B-per
NaN,говорил,_,O
NaN,Бездомному,_,B-per
NaN,идя,_,O
NaN,с,_,O
NaN,тем,_,O
NaN,по,_,O
NaN,Бронной,_,O
NaN,к,_,O
NaN,Патриаршим,_,O
NaN,прудам,_,O
Sentence: 8,–,_,O
NaN,О,_,O
NaN,нет,_,O
Sentence: 9,Это,_,O
NaN,может,_,O
NaN,кто,_,O
NaN,подтвердить,_,O
Sentence: 10,–,_,O
NaN,начиная,_,O
NaN,говорить,_,O
NaN,ломаным,_,O
NaN,языком,_,O
NaN,чрезвычайно,_,O
NaN,уверенно,_,O
NaN,ответил,_,O
NaN,профессор,_,B-per
NaN,и,_,O
NaN,неожиданно,_,O
NaN,таинственно,_,O
NaN,поманил,_,O
NaN,обоих,_,O
NaN,приятелей,_,B-per
NaN,к,_,O
NaN,себе,_,O
NaN,поближе,_,O
Sentence: 11,Те,_,O
NaN,наклонились,_,O
NaN,к,_,O
NaN,нему,_,O
NaN,с,_,O
NaN,обеих,_,O
NaN,сторон,_,O
NaN,–,_,O
NaN,Дело,_,O
NaN,в,_,O
NaN,том,_,O
Sentence: 12,–,_,O
NaN,тут,_,O
NaN,профессор,_,B-per
NaN,пугливо,_,O
NaN,оглянулся,_,O
NaN,и,_,O
NaN,заговорил,_,O
NaN,шепотом,_,O
NaN,–,_,O
NaN,что,_,O
NaN,я,_,B-per
NaN,лично,_,O
NaN,присутствовал,_,O
NaN,при,_,O
NaN,всем,_,O
NaN,этом,_,O
Sentence: 13,Наступило,_,O
NaN,молчание,_,O
NaN,и,_,O
NaN,Берлиоз,_,B-per
NaN,побледнел,_,O
Sentence: 14,–,_,O
NaN,Вы,_,B-per
Sentence: 15,вы,_,B-per
NaN,сколько,_,O
NaN,времени,_,O
NaN,в,_,O
NaN,Москве,_,O
Sentence: 16,–,_,O
NaN,дрогнувшим,_,O
NaN,голосом,_,O
NaN,спросил,_,O
NaN,он,_,B-per
Sentence: 17,–,_,O
NaN,А,_,O
NaN,я,_,B-per
NaN,только,_,O
NaN,что,_,O
NaN,сию,_,O
NaN,минуту,_,O
NaN,приехал,_,O
NaN,в,_,O
NaN,Москву,_,O
NaN,–,_,O
NaN,растерянно,_,O
NaN,ответил,_,O
NaN,профессор,_,B-per
NaN,Вот,_,O
NaN,тебе,_,O
NaN,все,_,O
NaN,и,_,O
NaN,объяснилось,_,O
Sentence: 18,–,_,O
NaN,подумал,_,O
NaN,Берлиоз,_,B-per
NaN,в,_,O
NaN,смятении,_,O
NaN,–,_,O
NaN,приехал,_,O
NaN,сумасшедший,_,O
NaN,немец,_,B-per
NaN,или,_,O
NaN,только,_,O
NaN,что,_,O
NaN,спятил,_,O
NaN,на,_,O
NaN,Патриарших,_,O
Sentence: 19,Вот,_,O
NaN,так,_,O
NaN,история,_,O
NaN,–,_,O
NaN,но,_,O
NaN,растерявшийся,_,O
NaN,поэт,_,B-per
NaN,этих,_,O
NaN,сигналов,_,O
NaN,не,_,O
NaN,понял,_,O
Sentence: 20,–,_,O
NaN,Да,_,O
NaN,да,_,O
NaN,да,_,O
NaN,–,_,O
NaN,возбужденно,_,O
NaN,говорил,_,O
NaN,Берлиоз,_,B-per
NaN,–,_,O
NaN,впрочем,_,O
NaN,все,_,O
NaN,это,_,O
NaN,возможно,_,O
Sentence: 21,Даже,_,O
NaN,очень,_,O
NaN,возможно,_,O
NaN,и,_,O
NaN,Понтий,_,B-per
NaN,Пилат,_,B-per
NaN,и,_,O
NaN,балкон,_,O
NaN,и,_,O
NaN,тому,_,O
NaN,подобное,_,O
Sentence: 22,–,_,O
NaN,Один,_,O
NaN,один,_,O
NaN,я,_,B-per
NaN,всегда,_,O
NaN,один,_,O
NaN,–,_,O
NaN,горько,_,O
NaN,ответил,_,O
NaN,профессор,_,B-per
Sentence: 23,–,_,O
NaN,Я,_,B-per
Sentence: 24,Нигде,_,O
NaN,–,_,O
NaN,ответил,_,O
NaN,полоумный,_,O
NaN,немец,_,B-per
NaN,тоскливо,_,O
NaN,и,_,O
NaN,дико,_,O
NaN,блуждая,_,O
NaN,зеленым,_,O
NaN,глазом,_,O
NaN,по,_,O
NaN,Патриаршим,_,O
NaN,прудам,_,O
Sentence: 25,–,_,O
NaN,В,_,O
NaN,вашей,_,O
NaN,квартире,_,O
NaN,–,_,O
NaN,вдруг,_,O
NaN,развязно,_,O
NaN,ответил,_,O
NaN,сумасшедший,_,B-per
NaN,и,_,O
